hpo_id	hpo_name	ncbi_gene_id	gene_symbol	disease_id
HP:0000007	Autosomal recessive inheritance	6448	SGSH	OMIM:252900
HP:0000007	Autosomal recessive inheritance	8925	HERC1	OMIM:617011
HP:0000007	Autosomal recessive inheritance	1281	COL3A1	OMIM:618343
HP:0000007	Autosomal recessive inheritance	196	AHR	OMIM:618345
HP:0000007	Autosomal recessive inheritance	10785	WDR4	OMIM:618346
HP:0000007	Autosomal recessive inheritance	10785	WDR4	OMIM:618347
HP:0000007	Autosomal recessive inheritance	1441	CSF3R	OMIM:617014
HP:0000007	Autosomal recessive inheritance	23516	SLC39A14	OMIM:617013
HP:0000007	Autosomal recessive inheritance	84074	QRICH2	OMIM:618341
HP:0000007	Autosomal recessive inheritance	10734	STAG3	OMIM:619672
HP:0000007	Autosomal recessive inheritance	10734	STAG3	OMIM:615723
HP:0000007	Autosomal recessive inheritance	285498	RNF212	OMIM:619673
HP:0000007	Autosomal recessive inheritance	54517	PUS7	OMIM:618342
HP:0000007	Autosomal recessive inheritance	10564	ARFGEF2	OMIM:608097
HP:0000007	Autosomal recessive inheritance	4311	MME	OMIM:617017
HP:0000007	Autosomal recessive inheritance	5396	PRRX1	OMIM:202650
HP:0000007	Autosomal recessive inheritance	1798	DPAGT1	OMIM:608093
HP:0000007	Autosomal recessive inheritance	1798	DPAGT1	OMIM:614750
HP:0000007	Autosomal recessive inheritance	57122	NUP107	OMIM:618348
HP:0000007	Autosomal recessive inheritance	57122	NUP107	OMIM:618078
HP:0000007	Autosomal recessive inheritance	57122	NUP107	OMIM:616730
HP:0000007	Autosomal recessive inheritance	55746	NUP133	OMIM:618349
HP:0000007	Autosomal recessive inheritance	55746	NUP133	OMIM:618177
HP:0000007	Autosomal recessive inheritance	51259	TMEM216	OMIM:608091
HP:0000007	Autosomal recessive inheritance	51259	TMEM216	OMIM:603194
HP:0000007	Autosomal recessive inheritance	56623	INPP5E	OMIM:213300
HP:0000007	Autosomal recessive inheritance	56623	INPP5E	OMIM:610156
HP:0000007	Autosomal recessive inheritance	4023	LPL	OMIM:238600
HP:0000007	Autosomal recessive inheritance	1950	EGF	OMIM:611718
HP:0000007	Autosomal recessive inheritance	6442	SGCA	OMIM:608099
HP:0000007	Autosomal recessive inheritance	56945	MRPS22	OMIM:611719
HP:0000007	Autosomal recessive inheritance	56945	MRPS22	OMIM:618117
HP:0000007	Autosomal recessive inheritance	10165	SLC25A13	OMIM:605814
HP:0000007	Autosomal recessive inheritance	10165	SLC25A13	OMIM:603471
HP:0000007	Autosomal recessive inheritance	55315	SLC29A3	OMIM:602782
HP:0000007	Autosomal recessive inheritance	8540	AGPS	OMIM:600121
HP:0000007	Autosomal recessive inheritance	5896	RAG1	OMIM:601457
HP:0000007	Autosomal recessive inheritance	5896	RAG1	OMIM:233650
HP:0000007	Autosomal recessive inheritance	5896	RAG1	OMIM:603554
HP:0000007	Autosomal recessive inheritance	5897	RAG2	OMIM:601457
HP:0000007	Autosomal recessive inheritance	5897	RAG2	OMIM:233650
HP:0000007	Autosomal recessive inheritance	5897	RAG2	OMIM:603554
HP:0000007	Autosomal recessive inheritance	10397	NDRG1	OMIM:601455
HP:0000007	Autosomal recessive inheritance	55610	VPS50	OMIM:619685
HP:0000007	Autosomal recessive inheritance	91754	NEK9	OMIM:617022
HP:0000007	Autosomal recessive inheritance	91754	NEK9	OMIM:614262
HP:0000007	Autosomal recessive inheritance	1294	COL7A1	OMIM:226600
HP:0000007	Autosomal recessive inheritance	1294	COL7A1	OMIM:131850
HP:0000007	Autosomal recessive inheritance	1294	COL7A1	OMIM:131705
HP:0000007	Autosomal recessive inheritance	1294	COL7A1	OMIM:604129
HP:0000007	Autosomal recessive inheritance	4312	MMP1	OMIM:226600
HP:0000007	Autosomal recessive inheritance	81790	RNF170	OMIM:619686
HP:0000007	Autosomal recessive inheritance	23395	LARS2	OMIM:617021
HP:0000007	Autosomal recessive inheritance	23395	LARS2	OMIM:615300
HP:0000007	Autosomal recessive inheritance	23114	NFASC	OMIM:618356
HP:0000007	Autosomal recessive inheritance	64801	ARV1	OMIM:617020
HP:0000007	Autosomal recessive inheritance	55182	RNF220	OMIM:619688
HP:0000007	Autosomal recessive inheritance	116461	TSEN15	OMIM:617026
HP:0000007	Autosomal recessive inheritance	55262	TRAPPC14	OMIM:618351
HP:0000007	Autosomal recessive inheritance	2784	GNB3	OMIM:617024
HP:0000007	Autosomal recessive inheritance	7783	ZP2	OMIM:618353
HP:0000007	Autosomal recessive inheritance	60509	AGBL5	OMIM:617023
HP:0000007	Autosomal recessive inheritance	23043	TNIK	OMIM:617028
HP:0000007	Autosomal recessive inheritance	140801	RPL10L	OMIM:619689
HP:0000007	Autosomal recessive inheritance	11190	CEP250	OMIM:618358
HP:0000007	Autosomal recessive inheritance	5660	PSAP	OMIM:611721
HP:0000007	Autosomal recessive inheritance	5660	PSAP	OMIM:611722
HP:0000007	Autosomal recessive inheritance	5660	PSAP	OMIM:249900
HP:0000007	Autosomal recessive inheritance	5660	PSAP	OMIM:610539
HP:0000007	Autosomal recessive inheritance	154881	KCTD7	OMIM:611726
HP:0000007	Autosomal recessive inheritance	346007	EYS	OMIM:602772
HP:0000007	Autosomal recessive inheritance	5934	RBL2	OMIM:619690
HP:0000007	Autosomal recessive inheritance	57190	SELENON	OMIM:602771
HP:0000007	Autosomal recessive inheritance	79709	COLGALT1	OMIM:618360
HP:0000007	Autosomal recessive inheritance	16	AARS1	OMIM:619691
HP:0000007	Autosomal recessive inheritance	16	AARS1	OMIM:616339
HP:0000007	Autosomal recessive inheritance	5071	PRKN	OMIM:600116
HP:0000007	Autosomal recessive inheritance	7480	WNT10B	OMIM:225300
HP:0000007	Autosomal recessive inheritance	286151	FBXO43	OMIM:619696
HP:0000007	Autosomal recessive inheritance	286151	FBXO43	OMIM:619697
HP:0000007	Autosomal recessive inheritance	153642	ARSK	OMIM:619698
HP:0000007	Autosomal recessive inheritance	10588	MTHFS	OMIM:618367
HP:0000007	Autosomal recessive inheritance	22930	RAB3GAP1	OMIM:600118
HP:0000007	Autosomal recessive inheritance	22930	RAB3GAP1	OMIM:619420
HP:0000007	Autosomal recessive inheritance	51434	ANAPC7	OMIM:619699
HP:0000007	Autosomal recessive inheritance	122622	ADSS1	OMIM:617030
HP:0000007	Autosomal recessive inheritance	4141	MARS1	OMIM:619692
HP:0000007	Autosomal recessive inheritance	4141	MARS1	OMIM:620323
HP:0000007	Autosomal recessive inheritance	4141	MARS1	OMIM:615486
HP:0000007	Autosomal recessive inheritance	7922	SLC39A7	OMIM:619693
HP:0000007	Autosomal recessive inheritance	84068	SLC10A7	OMIM:618363
HP:0000007	Autosomal recessive inheritance	3643	INSR	OMIM:246200
HP:0000007	Autosomal recessive inheritance	3643	INSR	OMIM:262190
HP:0000007	Autosomal recessive inheritance	6718	AKR1D1	OMIM:235555
HP:0000007	Autosomal recessive inheritance	54834	GDAP2	OMIM:618369
HP:0000007	Autosomal recessive inheritance	4625	MYH7	OMIM:255160
HP:0000007	Autosomal recessive inheritance	3431	SP110	OMIM:235550
HP:0000007	Autosomal recessive inheritance	4647	MYO7A	OMIM:276900
HP:0000007	Autosomal recessive inheritance	4647	MYO7A	OMIM:600060
HP:0000007	Autosomal recessive inheritance	10083	USH1C	OMIM:276900
HP:0000007	Autosomal recessive inheritance	10083	USH1C	OMIM:276904
HP:0000007	Autosomal recessive inheritance	10083	USH1C	OMIM:602092
HP:0000007	Autosomal recessive inheritance	7399	USH2A	OMIM:276901
HP:0000007	Autosomal recessive inheritance	7399	USH2A	OMIM:613809
HP:0000007	Autosomal recessive inheritance	79955	PDZD7	OMIM:276901
HP:0000007	Autosomal recessive inheritance	79955	PDZD7	OMIM:618003
HP:0000007	Autosomal recessive inheritance	79955	PDZD7	OMIM:605472
HP:0000007	Autosomal recessive inheritance	23418	CRB1	OMIM:600105
HP:0000007	Autosomal recessive inheritance	23418	CRB1	OMIM:613835
HP:0000007	Autosomal recessive inheritance	7401	CLRN1	OMIM:276902
HP:0000007	Autosomal recessive inheritance	7401	CLRN1	OMIM:268000
HP:0000007	Autosomal recessive inheritance	7401	CLRN1	OMIM:614180
HP:0000007	Autosomal recessive inheritance	7086	TKT	OMIM:617044
HP:0000007	Autosomal recessive inheritance	63931	MRPS14	OMIM:618378
HP:0000007	Autosomal recessive inheritance	5321	PLA2G4A	OMIM:618372
HP:0000007	Autosomal recessive inheritance	23328	SASH1	OMIM:618373
HP:0000007	Autosomal recessive inheritance	10667	FARS2	OMIM:617046
HP:0000007	Autosomal recessive inheritance	10667	FARS2	OMIM:614946
HP:0000007	Autosomal recessive inheritance	9971	NR1H4	OMIM:617049
HP:0000007	Autosomal recessive inheritance	2065	ERBB3	OMIM:243180
HP:0000007	Autosomal recessive inheritance	2065	ERBB3	OMIM:607598
HP:0000007	Autosomal recessive inheritance	9294	S1PR2	OMIM:610419
HP:0000007	Autosomal recessive inheritance	3674	ITGA2B	OMIM:273800
HP:0000007	Autosomal recessive inheritance	83480	PUS3	OMIM:617051
HP:0000007	Autosomal recessive inheritance	8943	AP3D1	OMIM:617050
HP:0000007	Autosomal recessive inheritance	83959	SLC4A11	OMIM:217700
HP:0000007	Autosomal recessive inheritance	83959	SLC4A11	OMIM:217400
HP:0000007	Autosomal recessive inheritance	65260	COA7	OMIM:618387
HP:0000007	Autosomal recessive inheritance	55975	KLHL7	OMIM:617055
HP:0000007	Autosomal recessive inheritance	55697	VAC14	OMIM:617054
HP:0000007	Autosomal recessive inheritance	5913	RAPSN	OMIM:618388
HP:0000007	Autosomal recessive inheritance	5913	RAPSN	OMIM:616326
HP:0000007	Autosomal recessive inheritance	1053	CEBPE	OMIM:260570
HP:0000007	Autosomal recessive inheritance	1053	CEBPE	OMIM:245480
HP:0000007	Autosomal recessive inheritance	285489	DOK7	OMIM:618389
HP:0000007	Autosomal recessive inheritance	285489	DOK7	OMIM:254300
HP:0000007	Autosomal recessive inheritance	134218	DNAJC21	OMIM:617052
HP:0000007	Autosomal recessive inheritance	134218	DNAJC21	OMIM:260400
HP:0000007	Autosomal recessive inheritance	3914	LAMB3	OMIM:226650
HP:0000007	Autosomal recessive inheritance	3914	LAMB3	OMIM:226700
HP:0000007	Autosomal recessive inheritance	27107	ZBTB11	OMIM:618383
HP:0000007	Autosomal recessive inheritance	64849	SLC13A3	OMIM:618384
HP:0000007	Autosomal recessive inheritance	1278	COL1A2	OMIM:225320
HP:0000007	Autosomal recessive inheritance	84957	RELT	OMIM:618386
HP:0000007	Autosomal recessive inheritance	80184	CEP290	OMIM:611755
HP:0000007	Autosomal recessive inheritance	80184	CEP290	OMIM:615991
HP:0000007	Autosomal recessive inheritance	80184	CEP290	OMIM:610188
HP:0000007	Autosomal recessive inheritance	80184	CEP290	OMIM:610189
HP:0000007	Autosomal recessive inheritance	80184	CEP290	OMIM:611134
HP:0000007	Autosomal recessive inheritance	57010	CABP4	OMIM:610427
HP:0000007	Autosomal recessive inheritance	162417	NAGS	OMIM:237310
HP:0000007	Autosomal recessive inheritance	8720	MBTPS1	OMIM:618392
HP:0000007	Autosomal recessive inheritance	4927	NUP88	OMIM:618393
HP:0000007	Autosomal recessive inheritance	9325	TRIP4	OMIM:617066
HP:0000007	Autosomal recessive inheritance	9325	TRIP4	OMIM:616866
HP:0000007	Autosomal recessive inheritance	84868	HAVCR2	OMIM:618398
HP:0000007	Autosomal recessive inheritance	60558	GUF1	OMIM:617065
HP:0000007	Autosomal recessive inheritance	8318	CDC45	OMIM:617063
HP:0000007	Autosomal recessive inheritance	9326	ZNHIT3	OMIM:260565
HP:0000007	Autosomal recessive inheritance	23233	EXOC6B	OMIM:618395
HP:0000007	Autosomal recessive inheritance	7084	TK2	OMIM:617069
HP:0000007	Autosomal recessive inheritance	7084	TK2	OMIM:609560
HP:0000007	Autosomal recessive inheritance	1674	DES	OMIM:601419
HP:0000007	Autosomal recessive inheritance	1716	DGUOK	OMIM:617068
HP:0000007	Autosomal recessive inheritance	1716	DGUOK	OMIM:617070
HP:0000007	Autosomal recessive inheritance	1716	DGUOK	OMIM:251880
HP:0000007	Autosomal recessive inheritance	84340	GFM2	OMIM:618397
HP:0000007	Autosomal recessive inheritance	2799	GNS	OMIM:252940
HP:0000007	Autosomal recessive inheritance	26092	TOR1AIP1	OMIM:617072
HP:0000007	Autosomal recessive inheritance	2203	FBP1	OMIM:229700
HP:0000007	Autosomal recessive inheritance	5339	PLEC	OMIM:226670
HP:0000007	Autosomal recessive inheritance	5339	PLEC	OMIM:612138
HP:0000007	Autosomal recessive inheritance	5339	PLEC	OMIM:616487
HP:0000007	Autosomal recessive inheritance	5339	PLEC	OMIM:226730
HP:0000007	Autosomal recessive inheritance	5339	PLEC	OMIM:613723
HP:0000007	Autosomal recessive inheritance	51594	NBAS	OMIM:614800
HP:0000007	Autosomal recessive inheritance	51594	NBAS	OMIM:616483
HP:0000007	Autosomal recessive inheritance	54187	NANS	OMIM:610442
HP:0000007	Autosomal recessive inheritance	138050	HGSNAT	OMIM:252930
HP:0000007	Autosomal recessive inheritance	138050	HGSNAT	OMIM:616544
HP:0000007	Autosomal recessive inheritance	50617	ATP6V0A4	OMIM:602722
